BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,is_recent,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6
93,84,64,-8,21,89,216,42,4,26,1,0,0,1,0,0,0,0
123,16,46,-17,18,10,333,38,3,72,0,0,1,0,0,0,0,0
204,41,62,-12,9,74,252,68,4,65,0,0,0,0,0,0,1,0
78,31,51,-10,13,22,223,93,5,47,0,0,0,0,0,0,1,0
96,70,49,-12,15,78,236,4,6,75,0,0,1,0,0,0,0,0
184,82,26,-6,28,40,403,2,15,53,1,0,1,0,0,0,0,0
104,54,71,-20,9,64,93,11,4,60,0,0,0,0,0,1,0,0
108,88,54,-5,3,25,282,2,3,48,1,0,1,0,0,0,0,0
141,76,37,-6,53,66,289,62,4,66,0,0,1,0,0,0,0,0
126,49,51,-10,11,65,180,26,3,69,0,0,0,0,0,0,1,0
87,35,39,-7,17,44,142,86,3,64,0,0,0,1,0,0,0,0
150,82,55,-9,4,57,217,2,5,60,0,0,0,0,1,0,0,0
125,76,84,-5,3,60,251,6,9,60,0,0,1,0,0,0,0,0
117,74,64,-4,17,79,216,1,3,85,1,0,0,1,0,0,0,0
98,41,75,-15,34,24,286,7,4,66,0,0,1,0,0,0,0,0
87,35,27,-9,33,33,180,55,3,74,0,0,0,0,0,1,0,0
95,64,30,-8,25,33,241,0,3,54,0,0,0,1,0,0,0,0
113,94,73,-12,15,92,213,14,4,66,0,0,0,0,0,0,1,0
130,48,55,-8,10,18,270,48,3,50,1,0,0,0,1,0,0,0
76,55,35,-7,11,8,286,42,3,74,1,0,0,0,0,0,0,1
112,76,49,-6,9,44,371,0,3,75,0,0,1,0,0,0,0,0
129,23,42,-17,22,20,232,63,4,59,0,0,0,0,0,1,0,0
160,85,58,-7,12,91,187,7,10,48,0,0,0,1,0,0,0,0
103,69,52,-11,11,93,229,10,3,59,0,0,1,0,0,0,0,0
74,42,69,-11,8,47,193,8,3,72,0,0,0,1,0,0,0,0
124,46,93,-9,6,76,256,14,31,73,0,0,0,1,0,0,0,0
131,70,32,-8,11,25,443,2,4,37,0,0,1,0,0,0,0,0
132,63,55,-12,37,79,186,3,3,46,0,0,0,0,1,0,0,0
89,59,39,-11,15,30,525,19,4,49,0,0,1,0,0,0,0,0
120,82,50,-6,9,54,219,0,4,72,0,1,0,0,0,0,0,0
109,78,44,-5,14,61,212,14,3,47,0,0,1,0,0,0,0,0
83,53,66,-9,14,61,230,89,17,49,1,0,0,0,1,0,0,0
99,47,87,-10,13,64,234,62,4,40,0,0,0,0,1,0,0,0
150,92,35,-2,34,54,226,0,5,53,1,1,0,0,0,0,0,0
140,98,32,-7,9,23,166,0,17,74,0,0,1,0,0,0,0,0
86,58,54,-5,11,34,328,11,3,76,0,0,0,1,0,0,0,0
158,88,41,-6,8,36,251,0,4,77,0,1,0,0,0,0,0,0
90,30,64,-10,10,44,238,62,3,36,1,0,0,0,1,0,0,0
87,66,63,-9,7,75,343,12,3,68,0,0,1,0,0,0,0,0
61,36,34,-11,33,9,312,11,3,50,0,0,0,0,1,0,0,0
78,20,24,-14,11,27,345,98,3,19,1,0,0,0,0,0,1,0
135,43,70,-11,10,56,194,33,38,95,1,0,0,1,0,0,0,0
122,72,62,-10,76,89,176,20,4,48,0,0,0,0,0,1,0,0
122,77,30,-3,12,9,467,0,3,52,1,1,0,0,0,0,0,0
115,78,62,-9,22,63,252,7,3,57,0,0,1,0,0,0,0,0
68,45,44,-7,11,24,305,89,4,55,0,0,1,0,0,0,0,0
83,25,42,-14,11,21,219,84,3,70,1,0,0,1,0,0,0,0
170,61,45,-7,9,48,209,2,3,36,1,0,0,0,1,0,0,0
87,11,70,-15,7,52,108,94,55,58,0,0,1,0,0,0,0,0
75,38,40,-7,12,23,277,70,3,73,0,0,0,0,0,1,0,0
120,69,79,-4,14,22,243,8,3,59,1,1,0,0,0,0,0,0
105,50,70,-13,32,68,222,6,3,68,0,0,1,0,0,0,0,0
168,7,17,-21,14,10,298,92,3,66,0,0,0,0,0,1,0,0
85,60,27,-10,19,29,575,2,4,41,0,0,1,0,0,0,0,0
98,73,60,-7,14,29,264,1,3,72,1,0,0,0,0,0,1,0
89,65,62,-9,7,63,330,6,4,54,0,0,1,0,0,0,0,0
81,25,39,-11,10,20,177,79,4,59,0,0,0,0,0,1,0,0
128,91,60,-4,12,41,305,0,8,76,1,0,1,0,0,0,0,0
90,41,63,-13,31,70,291,6,3,41,0,0,0,0,1,0,0,0
88,69,43,-8,36,52,203,6,6,51,0,0,1,0,0,0,0,0
125,74,69,-6,8,84,197,15,3,42,1,0,1,0,0,0,0,0
121,39,72,-17,5,79,187,16,3,60,0,0,1,0,0,0,0,0
120,79,66,-7,6,71,240,5,3,44,0,0,1,0,0,0,0,0
138,74,43,-7,33,9,285,2,4,67,1,0,0,1,0,0,0,0
168,60,54,-11,8,64,291,4,5,69,0,0,0,1,0,0,0,0
100,75,56,-13,33,64,283,61,11,68,0,0,1,0,0,0,0,0
141,30,71,-12,10,48,203,44,3,44,1,0,1,0,0,0,0,0
175,59,23,-9,13,55,204,31,4,35,0,0,0,0,0,1,0,0
90,43,39,-9,11,43,326,24,4,64,0,1,0,0,0,0,0,0
98,54,64,-13,28,94,181,49,3,65,0,0,0,0,0,1,0,0
114,34,44,-11,10,8,266,4,3,65,1,1,0,0,0,0,0,0
169,70,44,-8,28,78,217,1,4,39,0,0,1,0,0,0,0,0
152,88,51,-5,7,68,268,0,3,57,1,1,0,0,0,0,0,0
156,91,48,-4,5,54,267,4,19,59,1,0,0,0,0,0,1,0
125,53,68,-13,6,35,266,42,9,60,0,0,1,0,0,0,0,0
177,80,54,-9,8,89,220,7,3,56,0,0,0,0,0,0,1,0
122,72,36,-10,36,47,360,2,4,55,0,0,1,0,0,0,0,0
