Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
1978,95,85,60,-8,63,64,191,1,3,38,0,0,0,0,0,0,0,1
2000,99,87,55,-6,17,54,234,1,3,77,0,0,0,0,0,1,0,0
1997,164,85,25,-7,5,19,387,4,6,67,0,0,0,0,0,1,0,0
1986,134,38,44,-16,7,30,192,66,3,32,0,1,0,0,0,0,0,0
1967,144,26,36,-11,11,49,179,91,3,58,0,1,0,0,0,0,0,0
1996,110,86,77,-6,16,89,173,10,3,80,0,0,0,0,0,0,1,0
2010,100,80,59,-7,9,32,220,50,7,38,0,1,0,0,0,0,0,0
1999,95,64,30,-8,25,33,241,0,3,54,0,1,0,0,0,0,0,0
1998,133,97,51,-4,19,53,305,0,4,61,0,0,0,0,0,1,0,0
1967,169,77,35,-6,2,53,210,1,4,71,1,0,0,0,0,0,0,0
2008,133,81,86,-8,12,85,161,31,4,49,0,0,0,0,0,0,0,1
2008,87,78,36,-8,38,58,236,1,4,53,0,1,0,0,0,0,0,0
1970,92,36,41,-13,8,27,285,83,3,63,1,0,0,0,0,0,0,0
2012,95,55,78,-7,13,44,243,35,5,81,0,0,0,0,0,0,1,0
1987,115,49,73,-11,9,73,227,26,3,78,1,0,0,0,0,0,0,0
1995,90,86,53,-3,13,44,443,0,3,46,0,1,0,0,0,0,0,0
1987,97,69,67,-6,17,28,186,5,3,60,1,0,0,0,0,0,0,0
2013,130,83,55,-5,6,14,204,4,3,65,0,1,0,0,0,0,0,0
1967,108,69,51,-7,17,42,194,16,2,66,1,0,0,0,0,0,0,0
2016,123,55,55,-11,18,42,242,85,4,36,1,0,0,0,0,0,0,0
1972,128,69,56,-11,20,75,345,53,4,63,1,0,0,0,0,0,0,0
2010,117,41,71,-14,15,65,227,38,4,48,0,0,0,0,0,0,1,0
1998,136,17,54,-13,9,24,238,74,5,11,0,0,0,0,0,0,0,1
1971,175,59,23,-9,13,55,204,31,4,35,0,0,0,0,1,0,0,0
1976,147,51,58,-9,6,61,391,1,3,82,1,0,0,0,0,0,0,0
2007,143,83,44,-7,32,65,322,5,3,66,0,1,0,0,0,0,0,0
1992,153,40,54,-10,16,24,289,58,4,73,0,0,0,0,0,0,1,0
2000,129,51,69,-10,46,89,125,63,3,71,0,0,0,0,1,0,0,0
1971,93,46,45,-11,15,66,271,30,4,71,1,0,0,0,0,0,0,0
1986,132,93,64,-6,13,90,271,14,3,64,0,0,0,0,0,0,1,0
1971,127,62,39,-8,9,34,221,21,3,71,1,0,0,0,0,0,0,0
2014,167,89,49,-4,7,64,245,0,4,75,1,0,0,0,0,0,0,0
2017,174,72,43,-6,9,69,268,10,4,78,0,0,0,1,0,0,0,0
1970,103,88,76,-9,22,95,175,36,4,73,1,0,0,0,0,0,0,0
1975,141,82,57,-8,9,77,239,1,3,63,0,0,0,1,0,0,0,0
1988,125,69,63,-10,16,89,218,12,3,59,1,0,0,0,0,0,0,0
2011,172,76,34,-7,35,33,251,0,4,39,0,0,0,0,0,0,0,1
1993,159,96,37,-5,35,44,283,0,7,58,0,0,0,0,0,1,0,0
2001,119,38,52,-9,10,13,270,76,4,36,0,0,0,0,0,0,0,1
2006,133,42,42,-10,16,25,236,84,4,48,0,0,0,0,0,0,0,1
2011,138,78,48,-8,8,18,319,1,5,53,0,0,0,0,0,0,0,1
1969,129,44,54,-9,40,37,215,61,5,44,0,0,0,1,0,0,0,0
1991,175,79,46,-10,11,86,234,1,8,49,0,0,0,0,0,0,0,1
1966,81,24,54,-17,13,57,167,69,4,63,0,1,0,0,0,0,0,0
2011,131,32,29,-8,19,20,215,86,3,49,0,0,0,0,1,0,0,0
1976,104,41,79,-15,14,39,169,41,5,59,0,1,0,0,0,0,0,0
1997,130,82,68,-6,4,32,335,1,5,66,0,1,0,0,0,0,0,0
1972,81,60,22,-11,41,25,1121,27,6,47,1,0,0,0,0,0,0,0
1986,172,14,39,-17,10,26,226,79,4,69,0,0,0,0,0,0,1,0
2018,174,44,64,-14,9,15,154,13,20,68,0,0,0,0,0,0,0,1
1971,138,48,53,-12,8,49,517,70,6,74,0,0,0,0,1,0,0,0
1986,104,6,49,-24,10,6,409,83,4,53,0,1,0,0,0,0,0,0
1982,113,83,74,-6,38,82,189,8,12,79,1,0,0,0,0,0,0,0
2017,80,66,55,-7,10,52,244,39,3,66,0,1,0,0,0,0,0,0
1973,161,43,31,-10,33,22,267,39,3,78,1,0,0,0,0,0,0,0
1995,74,23,45,-13,20,13,291,17,3,70,0,0,0,0,0,1,0,0
1992,110,87,31,-6,23,23,438,0,6,55,1,0,0,0,0,0,0,0
2017,92,85,68,-11,6,93,391,23,5,69,0,0,0,0,0,0,1,0
2003,162,62,32,-6,60,36,308,3,3,40,1,0,0,0,0,0,0,0
1987,127,86,54,-6,25,29,299,25,4,66,0,0,0,1,0,0,0,0
2005,132,41,62,-14,10,51,215,7,3,32,0,1,0,0,0,0,0,0
2019,108,58,74,-9,18,94,265,19,3,85,0,0,0,0,0,0,1,0
1978,148,87,73,-7,32,92,350,6,3,66,1,0,0,0,0,0,0,0
1975,110,61,66,-10,8,77,292,6,3,69,1,0,0,0,0,0,0,0
1977,123,52,72,-8,13,94,261,7,6,73,0,0,0,0,0,1,0,0
2006,104,92,66,-6,61,46,229,38,17,30,0,0,0,0,0,0,0,1
1969,117,38,49,-11,41,71,261,4,3,72,0,0,0,0,1,0,0,0
2002,131,75,58,-7,18,26,308,60,3,76,0,1,0,0,0,0,0,0
2003,79,27,19,-9,13,10,263,86,4,74,0,0,0,0,0,1,0,0
1994,98,91,53,-4,23,81,178,2,3,75,0,0,1,0,0,0,0,0
1980,179,36,53,-11,24,17,452,28,4,36,1,0,0,0,0,0,0,0
1975,130,46,43,-12,13,38,293,12,3,65,1,0,0,0,0,0,0,0
1991,117,91,50,-5,11,72,302,0,6,74,0,0,0,0,0,1,0,0
1984,115,78,62,-9,22,63,252,7,3,57,1,0,0,0,0,0,0,0
1972,109,33,56,-16,32,33,195,47,3,54,0,0,0,0,1,0,0,0
1992,160,98,41,-4,8,35,323,0,5,56,1,0,0,0,0,0,0,0
2000,120,91,55,-4,35,54,224,3,5,77,0,1,0,0,0,0,0,0
2008,138,56,74,-10,8,98,170,11,4,49,0,0,0,0,0,0,0,1
1992,123,92,51,-3,21,46,319,1,6,59,0,1,0,0,0,0,0,0
2000,94,50,51,-8,39,42,232,61,3,47,0,1,0,0,0,0,0,0
2001,123,72,82,-9,36,69,225,4,14,71,0,1,0,0,0,0,0,0
1988,125,76,64,-12,13,64,219,1,5,49,1,0,0,0,0,0,0,0
1987,180,76,26,-7,23,43,284,6,4,58,1,0,0,0,0,0,0,0
2008,174,78,68,-6,8,87,270,3,8,47,0,0,0,1,0,0,0,0
2012,112,65,81,-7,15,81,229,35,6,57,0,0,0,0,0,0,0,1
1969,197,71,31,-9,26,67,151,0,10,34,0,0,0,0,0,0,0,1
2007,123,93,45,-4,36,17,303,0,7,76,0,0,0,0,0,1,0,0
1992,143,43,47,-12,23,24,271,18,3,62,0,0,0,0,0,1,0,0
2017,114,32,50,-13,24,30,249,10,3,50,1,0,0,0,0,0,0,0
1992,106,67,56,-7,9,60,243,2,3,58,1,0,0,0,0,0,0,0
2006,74,17,33,-13,9,10,219,91,3,57,0,0,0,1,0,0,0,0
2015,135,33,65,-11,22,52,272,43,3,42,1,0,0,0,0,0,0,0
2017,132,69,34,-9,34,21,341,0,4,32,1,0,0,0,0,0,0,0
1969,87,55,27,-10,10,43,386,4,5,63,1,0,0,0,0,0,0,0
2018,106,74,63,-8,17,67,276,47,4,44,1,0,0,0,0,0,0,0
1983,105,79,58,-7,6,91,226,1,3,53,0,0,0,0,1,0,0,0
2006,134,36,67,-9,8,29,242,57,3,76,0,1,0,0,0,0,0,0
1998,174,38,44,-11,10,19,263,36,3,37,0,0,0,0,0,0,0,1
1971,123,38,44,-15,5,22,236,64,4,71,1,0,0,0,0,0,0,0
2019,107,77,60,-8,11,72,204,10,3,36,1,0,0,0,0,0,0,0
1995,54,56,36,-6,31,14,230,18,3,29,1,0,0,0,0,0,0,0
1997,75,51,36,-9,17,32,264,6,3,74,0,0,0,0,0,1,0,0
1967,82,24,55,-14,12,33,413,18,4,37,0,0,0,0,0,0,0,1
2018,100,71,55,-8,8,30,218,6,5,60,0,0,1,0,0,0,0,0
2000,194,43,35,-11,10,26,275,16,3,52,0,0,0,0,0,0,0,1
1991,117,61,53,-10,12,53,401,1,3,61,1,0,0,0,0,0,0,0
2012,184,51,35,-8,71,22,291,40,3,51,0,0,0,0,0,0,0,1
2014,135,23,40,-9,11,28,222,89,4,61,0,0,0,0,0,0,0,1
1967,71,53,52,-8,5,43,146,18,8,69,1,0,0,0,0,0,0,0
1982,93,51,62,-10,26,69,246,54,3,65,0,0,0,1,0,0,0,0
1975,95,56,79,-10,8,67,261,45,5,60,1,0,0,0,0,0,0,0
1997,133,88,49,-5,27,25,396,0,4,55,0,0,0,0,0,1,0,0
1980,151,32,38,-15,8,41,966,52,4,32,1,0,0,0,0,0,0,0
2003,94,70,83,-3,13,80,273,11,20,66,0,0,0,0,0,0,1,0
2005,61,13,27,-14,33,18,232,94,4,38,0,1,0,0,0,0,0,0
1998,98,91,51,-7,17,46,206,1,4,33,0,0,0,0,0,0,0,1
1997,121,80,96,-5,9,84,430,0,15,70,0,1,0,0,0,0,0,0
2009,115,72,53,-6,11,59,324,0,3,44,1,0,0,0,0,0,0,0
1998,81,20,37,-14,30,14,205,71,4,47,0,0,0,1,0,0,0,0
2015,85,41,17,-8,11,9,203,61,3,33,0,0,0,0,0,0,0,1
1982,98,94,62,-5,7,76,176,3,3,76,0,1,0,0,0,0,0,0
2001,88,32,52,-11,9,18,226,33,2,48,0,0,0,0,0,0,0,1
2012,90,71,51,-3,33,43,175,19,3,73,0,0,1,0,0,0,0,0
2008,77,89,69,-6,3,91,182,9,3,56,0,0,0,1,0,0,0,0
1998,109,50,27,-9,10,13,266,28,3,50,0,0,0,0,0,0,0,1
1991,81,49,53,-8,10,10,384,54,5,68,0,0,0,1,0,0,0,0
1986,75,53,44,-8,34,35,247,4,3,50,1,0,0,0,0,0,0,0
2002,115,67,72,-12,5,65,231,6,4,43,1,0,0,0,0,0,0,0
2002,168,60,58,-6,48,65,263,0,5,72,0,0,0,0,0,1,0,0
1977,93,46,81,-13,15,74,191,78,3,70,1,0,0,0,0,0,0,0
1979,134,23,35,-10,38,18,221,90,3,67,0,0,0,0,1,0,0,0
2014,80,37,56,-10,9,28,182,93,4,27,0,0,0,0,0,0,0,1
1991,94,61,64,-13,21,89,224,25,3,69,0,0,0,1,0,0,0,0
1984,81,47,48,-10,13,42,305,19,3,77,1,0,0,0,0,0,0,0
1973,134,51,51,-14,11,70,152,78,3,53,0,0,0,0,1,0,0,0
2002,145,59,43,-5,30,19,227,6,3,70,0,1,0,0,0,0,0,0
1995,175,87,37,-5,23,48,259,0,4,71,0,1,0,0,0,0,0,0
1969,89,55,38,-9,31,25,263,4,3,36,0,0,0,0,0,0,0,1
2004,106,73,79,-5,10,94,200,0,3,55,0,1,0,0,0,0,0,0
2015,174,13,50,-13,10,28,256,88,6,29,0,0,0,0,0,0,0,1
1986,88,63,53,-13,8,75,228,6,5,65,1,0,0,0,0,0,0,0
2000,173,66,43,-7,23,28,267,0,3,82,0,1,0,0,0,0,0,0
1979,122,57,87,-11,13,56,215,37,4,49,0,0,0,1,0,0,0,0
1987,125,70,63,-11,12,80,232,19,3,45,0,1,0,0,0,0,0,0
2009,129,82,53,-7,12,34,231,7,4,64,0,0,0,0,0,1,0,0
1984,81,61,58,-10,11,46,278,16,6,53,1,0,0,0,0,0,0,0
1998,108,84,72,-5,24,68,238,26,5,63,0,0,0,0,0,0,1,0
2018,110,41,50,-6,11,45,182,75,3,85,0,0,0,1,0,0,0,0
1982,170,70,75,-9,6,87,351,18,14,42,0,0,0,0,0,0,1,0
2009,119,92,70,-4,8,71,295,0,4,79,0,0,0,0,0,0,1,0
1962,118,31,65,-9,7,61,180,57,4,77,0,0,0,0,1,0,0,0
1992,136,76,53,-12,34,51,214,0,3,67,0,0,0,0,0,0,1,0
1969,109,90,43,-5,12,77,190,41,7,68,1,0,0,0,0,0,0,0
2018,109,41,81,-9,8,50,223,11,4,59,1,0,0,0,0,0,0,0
2010,104,57,77,-6,11,61,165,9,3,36,0,0,0,0,0,0,0,1
1995,138,45,49,-12,18,13,254,31,3,62,0,0,0,0,0,1,0,0
1978,123,78,61,-8,28,85,242,9,5,58,1,0,0,0,0,0,0,0
1995,160,61,28,-8,11,16,290,28,4,54,1,0,0,0,0,0,0,0
1971,83,42,47,-10,5,50,239,52,3,66,1,0,0,0,0,0,0,0
1969,154,36,45,-13,20,30,444,47,4,67,1,0,0,0,0,0,0,0
2005,96,52,32,-7,16,25,238,48,2,34,0,1,0,0,0,0,0,0
1982,119,76,66,-7,9,54,478,1,4,47,1,0,0,0,0,0,0,0
2013,128,79,57,-4,9,30,148,5,5,69,0,1,0,0,0,0,0,0
1983,132,7,19,-24,11,4,148,95,4,38,0,1,0,0,0,0,0,0
1991,92,94,67,-10,15,78,283,0,5,73,0,0,0,0,0,1,0,0
1987,153,74,45,-10,23,94,201,2,6,40,0,0,0,0,0,0,0,1
2001,136,97,41,-4,11,35,218,0,5,53,0,0,1,0,0,0,0,0
2017,129,64,67,-7,14,89,223,22,3,41,0,0,0,0,0,0,0,1
1979,125,93,62,-6,27,55,306,6,11,39,0,1,0,0,0,0,0,0
2004,140,82,42,-4,15,63,194,0,6,65,1,0,0,0,0,0,0,0
1964,139,81,59,-6,10,80,154,14,4,69,0,1,0,0,0,0,0,0
1985,84,90,57,-8,9,88,225,2,5,83,0,0,0,0,0,0,1,0
1971,147,59,56,-7,4,97,198,6,3,67,1,0,0,0,0,0,0,0
2016,109,33,67,-17,8,49,284,61,6,63,0,1,0,0,0,0,0,0
2013,145,56,60,-7,5,33,207,0,6,47,0,0,0,0,0,0,0,1
2003,133,88,46,-3,11,33,247,0,6,47,0,0,0,0,0,0,0,1
1977,119,72,67,-8,4,83,193,4,4,67,1,0,0,0,0,0,0,0
2016,90,21,12,-11,13,5,223,84,4,54,0,1,0,0,0,0,0,0
1991,132,49,72,-12,11,97,216,73,4,39,0,1,0,0,0,0,0,0
2005,115,55,54,-7,12,48,237,53,4,64,0,0,0,0,1,0,0,0
1972,156,50,53,-11,26,79,153,48,3,54,0,1,0,0,0,0,0,0
1994,84,79,10,-4,36,18,277,0,4,55,0,1,0,0,0,0,0,0
1985,98,94,51,-10,14,50,394,17,4,71,1,0,0,0,0,0,0,0
2001,138,89,56,-5,32,96,183,54,4,41,0,0,0,0,0,0,0,1
1971,87,11,70,-15,7,52,108,94,55,58,1,0,0,0,0,0,0,0
2019,91,32,76,-7,8,57,189,84,5,98,0,0,0,1,0,0,0,0
2008,104,44,29,-7,8,16,207,79,3,44,0,0,0,1,0,0,0,0
1999,204,47,24,-8,12,39,205,31,4,62,0,0,0,0,0,1,0,0
1998,134,51,41,-9,69,38,257,52,4,39,0,1,0,0,0,0,0,0
1986,135,90,40,-5,54,84,193,7,4,67,0,0,0,0,0,0,1,0
1983,95,56,57,-7,11,50,232,10,5,73,0,0,0,1,0,0,0,0
1986,82,42,44,-17,7,55,237,1,4,72,0,0,0,1,0,0,0,0
1971,92,42,81,-15,10,84,157,75,4,58,0,1,0,0,0,0,0,0
1983,126,76,65,-8,23,61,295,1,3,62,0,0,0,0,0,0,1,0
1968,130,62,44,-11,17,70,517,6,3,56,1,0,0,0,0,0,0,0
2014,129,66,57,-5,12,44,242,63,5,77,0,1,0,0,0,0,0,0
1995,130,47,80,-9,32,59,344,25,4,58,0,0,0,1,0,0,0,0
1986,111,69,58,-12,14,53,298,61,3,66,1,0,0,0,0,0,0,0
2019,113,17,68,-9,10,24,260,84,3,28,0,0,0,1,0,0,0,0
2013,71,63,51,-9,15,50,214,10,19,49,0,0,0,1,0,0,0,0
2015,89,82,53,-6,9,69,200,1,4,16,0,0,0,0,0,0,0,1
2012,123,73,54,-6,16,51,219,1,3,51,0,0,1,0,0,0,0,0
2004,138,93,55,-4,9,81,189,4,4,59,0,0,0,0,0,1,0,0
2019,121,76,61,-9,73,63,218,14,7,50,0,0,0,0,0,1,0,0
1995,163,92,33,-4,13,34,290,6,6,63,0,1,0,0,0,0,0,0
1990,131,86,74,-8,7,78,271,18,4,69,1,0,0,0,0,0,0,0
2006,169,88,35,-5,12,41,202,3,20,57,1,0,0,0,0,0,0,0
2002,174,6,35,-17,10,30,190,98,4,70,0,1,0,0,0,0,0,0
1973,136,55,43,-6,11,41,272,67,3,72,1,0,0,0,0,0,0,0
2010,131,42,31,-9,8,24,242,13,3,84,0,1,0,0,0,0,0,0
2018,111,74,66,-10,32,89,236,23,3,32,0,0,0,0,0,0,0,1
2009,159,67,43,-6,14,38,394,9,3,45,0,1,0,0,0,0,0,0
2012,100,47,32,-7,95,25,208,26,3,42,0,0,0,0,0,0,0,1
1966,110,46,49,-9,57,71,208,74,3,62,0,0,0,0,1,0,0,0
1999,130,62,77,-8,9,51,217,10,4,41,1,0,0,0,0,0,0,0
1970,121,70,54,-9,8,58,281,10,3,76,1,0,0,0,0,0,0,0
1986,115,8,67,-27,17,28,228,67,4,42,0,0,0,0,0,0,0,1
1983,92,73,67,-7,19,89,253,23,4,72,0,0,0,0,0,0,1,0
1995,90,91,86,-6,32,73,284,21,13,69,0,0,0,1,0,0,0,0
1992,144,94,43,-5,14,47,314,1,4,61,0,0,0,0,0,1,0,0
1987,100,98,27,-6,18,40,406,2,10,71,0,1,0,0,0,0,0,0
1976,142,70,46,-10,9,51,428,29,7,61,1,0,0,0,0,0,0,0
2010,127,59,40,-9,11,37,263,8,4,28,0,0,0,1,0,0,0,0
2014,160,80,65,-5,33,94,219,6,17,66,0,0,0,0,0,0,1,0
1984,115,57,59,-10,9,47,434,36,4,59,0,1,0,0,0,0,0,0
1994,109,59,57,-8,69,36,306,67,6,68,0,0,0,0,0,1,0,0
1995,76,71,52,-7,18,54,264,25,4,67,0,0,0,0,0,1,0,0
2003,125,41,67,-8,10,50,238,84,3,68,0,1,0,0,0,0,0,0
1994,168,94,32,-7,10,54,178,3,10,71,0,0,0,0,0,1,0,0
1989,108,57,66,-10,12,50,240,24,3,72,0,0,0,0,0,0,1,0
1981,117,79,61,-6,57,91,274,16,3,58,1,0,0,0,0,0,0,0
2010,113,42,74,-10,10,58,259,36,3,43,0,0,0,0,0,0,0,1
2006,96,38,54,-7,8,39,204,52,3,49,1,0,0,0,0,0,0,0
2006,114,89,59,-6,51,70,312,1,3,53,0,1,0,0,0,0,0,0
1966,83,75,39,-7,14,27,215,78,4,57,0,0,0,1,0,0,0,0
2007,166,56,41,-5,19,47,176,5,3,48,0,0,0,0,0,0,0,1
2008,166,75,70,-9,19,91,195,13,10,48,0,0,0,0,0,0,0,1
1984,137,48,49,-9,24,33,227,42,3,74,0,0,0,0,0,0,1,0
2008,127,66,66,-10,8,84,225,12,10,52,0,0,0,0,0,0,0,1
2012,146,92,64,-4,9,85,258,3,8,83,0,0,0,0,0,0,1,0
2004,130,49,41,-9,96,15,296,51,3,38,0,0,0,0,0,0,0,1
2009,160,74,27,-5,63,42,321,5,4,75,0,0,1,0,0,0,0,0
1977,175,66,39,-6,6,46,274,28,3,50,1,0,0,0,0,0,0,0
1974,118,44,48,-15,22,76,235,0,4,69,1,0,0,0,0,0,0,0
2000,89,47,86,-9,27,84,184,0,5,74,0,1,0,0,0,0,0,0
1983,101,94,54,-7,4,74,279,40,5,72,1,0,0,0,0,0,0,0
1983,120,79,54,-6,17,48,290,0,3,54,1,0,0,0,0,0,0,0
1982,112,42,82,-13,8,52,276,56,3,67,1,0,0,0,0,0,0,0
2004,90,25,52,-10,14,14,222,22,3,51,0,0,0,0,0,0,0,1
2009,142,48,57,-6,10,16,244,26,3,32,1,0,0,0,0,0,0,0
1998,128,51,57,-13,13,28,435,4,3,43,0,0,0,0,0,0,1,0
2006,96,91,56,-2,35,73,282,2,4,76,0,0,0,0,0,1,0,0
2008,193,58,43,-5,19,27,193,4,30,70,0,0,0,0,0,0,1,0
2014,111,64,62,-7,52,65,159,21,3,58,0,1,0,0,0,0,0,0
1959,174,26,45,-13,7,60,324,54,4,65,0,1,0,0,0,0,0,0
2006,72,87,43,-3,40,73,214,5,7,74,0,1,0,0,0,0,0,0
1978,134,75,62,-9,5,66,192,4,36,78,1,0,0,0,0,0,0,0
1998,77,13,44,-19,18,13,239,81,4,51,0,0,0,0,0,0,0,1
2000,159,64,52,-5,17,32,272,39,2,52,1,0,0,0,0,0,0,0
2009,180,66,51,-7,12,46,228,3,4,79,0,0,0,1,0,0,0,0
2004,109,78,70,-8,6,39,289,9,5,70,1,0,0,0,0,0,0,0
1993,93,26,33,-15,12,42,283,0,3,56,1,0,0,0,0,0,0,0
2007,92,81,70,-5,13,58,290,36,3,59,0,0,0,0,0,1,0,0
1975,78,68,66,-9,73,59,428,27,6,70,0,1,0,0,0,0,0,0
1985,73,45,53,-15,7,29,427,19,4,70,0,1,0,0,0,0,0,0
2016,107,80,82,-4,15,63,226,3,8,78,0,0,0,0,0,0,1,0
1987,156,41,45,-11,12,32,245,74,3,51,0,0,0,0,0,1,0,0
1965,97,78,41,-9,8,71,199,31,6,71,1,0,0,0,0,0,0,0
2003,120,49,60,-7,12,9,270,50,3,72,0,0,0,0,0,1,0,0
2015,122,39,58,-8,9,16,249,76,3,20,0,0,0,0,0,0,0,1
1977,112,76,49,-6,9,44,371,0,3,75,1,0,0,0,0,0,0,0
2003,184,44,27,-9,10,8,252,41,3,46,0,0,0,0,0,0,0,1
1977,125,68,46,-9,50,68,304,25,8,57,1,0,0,0,0,0,0,0
1968,146,73,44,-12,24,54,213,26,10,67,1,0,0,0,0,0,0,0
2013,127,33,79,-13,19,53,231,60,6,67,0,1,0,0,0,0,0,0
1979,82,52,48,-16,12,90,215,2,3,44,0,0,0,0,0,0,0,1
1983,125,71,69,-7,12,88,217,23,3,81,0,0,0,0,0,0,1,0
2009,93,37,48,-8,12,14,216,74,3,75,0,0,0,1,0,0,0,0
1988,119,65,32,-6,24,47,272,50,3,83,0,1,0,0,0,0,0,0
1968,111,32,65,-9,19,28,167,21,3,69,0,0,0,0,1,0,0,0
2015,78,40,54,-8,11,17,220,66,4,32,0,0,0,0,0,0,0,1
2017,95,45,60,-6,11,17,263,16,2,87,0,0,0,1,0,0,0,0
2005,138,42,21,-9,11,12,296,16,3,81,0,1,0,0,0,0,0,0
1971,129,57,61,-11,7,54,350,56,4,72,0,0,0,0,1,0,0,0
2008,94,70,63,-5,8,53,261,17,2,74,1,0,0,0,0,0,0,0
2009,108,35,47,-11,8,28,216,72,3,69,0,0,0,0,0,1,0,0
1980,143,76,56,-7,8,93,214,0,3,65,1,0,0,0,0,0,0,0
1973,120,48,36,-12,18,36,414,52,8,70,1,0,0,0,0,0,0,0
2011,104,61,28,-5,10,8,403,0,3,72,1,0,0,0,0,0,0,0
2017,103,63,48,-7,12,16,671,39,3,59,0,0,0,1,0,0,0,0
1991,131,37,53,-13,6,25,394,8,3,64,1,0,0,0,0,0,0,0
1987,105,55,75,-7,13,45,233,46,10,59,0,0,0,1,0,0,0,0
1970,127,41,71,-7,6,53,211,35,4,60,1,0,0,0,0,0,0,0
2009,111,84,62,-5,18,26,343,26,4,71,0,0,0,0,0,0,1,0
2008,100,63,61,-5,10,33,241,43,3,64,1,0,0,0,0,0,0,0
2004,205,47,38,-12,9,31,190,34,5,34,1,0,0,0,0,0,0,0
1973,81,64,55,-10,20,61,230,0,22,74,1,0,0,0,0,0,0,0
1964,135,63,42,-7,59,81,245,75,8,53,0,1,0,0,0,0,0,0
2006,104,59,56,-5,13,14,268,21,3,78,1,0,0,0,0,0,0,0
2008,135,80,56,-8,9,58,245,0,6,73,0,0,1,0,0,0,0,0
1969,133,66,64,-8,15,66,141,20,4,80,1,0,0,0,0,0,0,0
1973,73,30,36,-15,63,13,469,86,3,65,1,0,0,0,0,0,0,0
1998,102,39,48,-11,8,25,340,23,3,51,0,0,0,0,0,0,1,0
2007,123,69,69,-5,9,49,212,39,3,73,0,0,0,0,1,0,0,0
2010,136,65,64,-6,12,76,232,43,3,49,0,0,0,0,0,0,0,1
2002,144,55,54,-7,13,23,239,5,2,75,0,0,0,0,0,1,0,0
2000,102,88,54,-6,53,59,214,2,3,34,0,0,0,0,0,0,0,1
1990,81,42,15,-12,21,17,273,43,3,69,1,0,0,0,0,0,0,0
1978,88,69,43,-8,36,52,203,6,6,51,1,0,0,0,0,0,0,0
2007,110,35,39,-10,11,16,306,67,3,19,0,0,0,0,0,0,0,1
1991,85,35,56,-13,14,46,264,6,5,81,0,0,0,0,0,1,0,0
1994,93,57,58,-8,8,37,235,25,2,57,1,0,0,0,0,0,0,0
1971,104,51,38,-15,54,40,355,1,5,55,1,0,0,0,0,0,0,0
1996,61,36,34,-11,33,9,312,11,3,50,0,0,0,0,0,0,0,1
1996,68,51,33,-9,37,29,215,40,6,53,0,1,0,0,0,0,0,0
2009,128,30,48,-9,11,30,281,85,4,43,0,0,0,0,0,0,1,0
1967,114,39,63,-10,10,65,182,41,4,45,0,1,0,0,0,0,0,0
1991,125,91,45,-4,23,81,226,3,4,70,0,0,0,0,0,1,0,0
1968,77,17,27,-21,12,20,139,73,4,68,0,0,0,0,1,0,0,0
1967,95,41,54,-13,10,82,185,16,3,62,0,0,0,0,1,0,0,0
1982,122,92,85,-4,6,90,362,2,4,64,0,0,0,1,0,0,0,0
2012,149,20,28,-17,13,16,809,49,3,31,1,0,0,0,0,0,0,0
2009,139,48,52,-8,9,46,247,3,3,67,0,0,1,0,0,0,0,0
2012,112,31,62,-10,12,13,241,95,3,66,0,0,0,1,0,0,0,0
1978,93,72,53,-10,8,76,241,13,3,51,1,0,0,0,0,0,0,0
2014,140,63,39,-7,11,32,373,24,3,49,0,1,0,0,0,0,0,0
2004,114,83,42,-5,16,61,501,1,4,49,1,0,0,0,0,0,0,0
2007,122,49,35,-7,21,21,273,47,3,41,0,0,0,1,0,0,0,0
2001,109,42,35,-8,10,27,199,30,3,51,0,0,1,0,0,0,0,0
2002,90,39,53,-8,9,16,217,65,3,75,0,1,0,0,0,0,0,0
1978,122,56,78,-8,7,76,232,11,10,76,0,1,0,0,0,0,0,0
1977,148,91,27,-5,15,48,200,0,7,51,0,1,0,0,0,0,0,0
2015,142,92,56,-4,28,59,235,0,3,54,0,0,0,1,0,0,0,0
2018,105,52,77,-4,13,39,217,18,3,85,0,0,0,0,0,0,1,0
1997,100,33,43,-9,14,36,206,89,3,49,0,0,0,0,0,0,0,1
1965,177,37,43,-12,11,65,125,18,4,69,0,1,0,0,0,0,0,0
2015,90,74,49,-5,30,36,259,26,4,78,0,1,0,0,0,0,0,0
1967,107,29,55,-13,9,32,151,49,3,69,1,0,0,0,0,0,0,0
1994,90,43,39,-9,11,43,326,24,4,64,0,0,0,0,0,1,0,0
2010,183,50,45,-7,11,21,266,25,3,26,0,0,0,0,0,0,0,1
2015,111,90,64,-6,17,78,192,20,4,46,1,0,0,0,0,0,0,0
1969,136,6,32,-22,14,26,191,83,4,50,1,0,0,0,0,0,0,0
2009,68,47,35,-9,66,20,150,94,4,47,0,0,0,0,0,0,0,1
1998,118,57,68,-9,9,65,313,10,3,35,0,0,0,0,0,0,0,1
1980,110,89,64,-7,16,97,199,9,3,69,1,0,0,0,0,0,0,0
2004,100,80,71,-6,8,63,259,1,4,76,0,0,0,0,0,0,1,0
1988,98,41,58,-16,6,53,310,13,3,53,1,0,0,0,0,0,0,0
