Year,BPM,Energy,Danceability,Loudness,Liveness,Valence,Length,Acousticness,Speechiness,Popularity,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
1986,128,76,78,-8,8,82,280,18,5,75,1,0,0,0,0,0,0,0
1967,132,58,50,-9,32,65,175,41,3,69,1,0,0,0,0,0,0,0
2016,98,72,68,-9,13,57,225,20,6,60,0,0,0,0,0,0,0,1
2013,78,40,57,-11,8,30,266,74,3,49,0,1,0,0,0,0,0,0
1999,149,90,43,-5,61,68,167,1,5,79,0,0,0,1,0,0,0,0
1997,153,23,38,-12,13,15,225,85,3,61,0,0,0,0,1,0,0,0
1985,125,6,41,-22,10,18,240,67,4,51,0,1,0,0,0,0,0,0
2015,164,72,48,-5,10,25,405,5,6,70,0,1,0,0,0,0,0,0
2018,140,49,57,-11,17,73,179,2,5,20,0,0,0,0,0,0,0,1
2013,108,87,74,-3,27,59,225,3,4,62,0,1,0,0,0,0,0,0
2005,99,48,59,-10,9,15,353,64,2,39,1,0,0,0,0,0,0,0
2013,76,5,63,-21,10,20,301,56,4,64,0,0,0,1,0,0,0,0
2016,121,73,67,-7,18,78,218,28,4,62,0,0,0,0,0,0,0,1
2005,131,90,61,-7,17,39,209,18,4,57,0,1,0,0,0,0,0,0
1985,79,44,22,-9,12,13,419,50,4,52,1,0,0,0,0,0,0,0
1967,80,78,53,-6,22,96,167,71,4,73,0,0,0,1,0,0,0,0
2014,175,52,48,-12,9,10,311,33,4,63,0,0,0,1,0,0,0,0
1981,121,32,50,-14,38,28,321,72,5,47,1,0,0,0,0,0,0,0
1991,113,40,69,-10,6,55,255,37,3,49,1,0,0,0,0,0,0,0
1984,171,34,28,-13,13,23,277,72,3,67,0,1,0,0,0,0,0,0
2004,103,86,63,-7,7,73,357,21,5,63,0,1,0,0,0,0,0,0
1987,110,43,54,-12,14,11,296,0,3,80,1,0,0,0,0,0,0,0
1972,139,67,57,-10,13,74,212,34,3,75,1,0,0,0,0,0,0,0
1963,160,80,49,-10,7,97,174,27,4,71,0,1,0,0,0,0,0,0
2010,123,81,50,-6,15,28,206,4,4,47,0,0,0,0,0,0,0,1
1974,106,54,76,-10,6,96,193,79,5,64,0,0,0,0,1,0,0,0
1983,105,40,61,-15,5,71,244,10,3,33,0,0,0,0,0,1,0,0
2009,128,77,74,-6,51,61,289,9,3,69,0,0,0,0,0,0,1,0
1976,121,37,51,-9,32,20,362,50,3,61,1,0,0,0,0,0,0,0
1977,139,45,59,-9,13,51,291,70,4,68,1,0,0,0,0,0,0,0
1967,115,48,68,-13,12,78,250,48,4,74,1,0,0,0,0,0,0,0
1998,127,90,56,-6,57,80,267,12,10,50,0,0,0,0,0,0,1,0
1969,91,46,55,-9,10,54,325,34,3,60,0,1,0,0,0,0,0,0
2016,98,55,37,-8,18,11,598,21,3,55,1,0,0,0,0,0,0,0
1980,77,76,60,-7,35,72,163,71,4,66,1,0,0,0,0,0,0,0
1998,128,80,57,-8,9,21,281,2,3,45,0,0,0,0,0,0,1,0
1991,125,15,59,-17,24,11,333,85,3,66,1,0,0,0,0,0,0,0
2003,150,93,24,-3,97,23,185,36,8,60,1,0,0,0,0,0,0,0
2005,117,93,38,-2,81,40,639,18,10,26,1,0,0,0,0,0,0,0
1989,132,88,49,-5,37,52,282,0,3,65,1,0,0,0,0,0,0,0
1975,81,25,25,-17,21,32,264,91,3,37,0,0,0,0,0,0,0,1
2005,67,13,47,-14,9,36,281,93,8,69,0,1,0,0,0,0,0,0
2005,171,74,69,-5,36,6,326,1,26,77,0,1,0,0,0,0,0,0
2014,126,81,64,-6,7,72,177,8,3,59,0,0,0,0,0,0,0,1
2006,113,55,67,-8,9,29,287,74,3,70,0,1,0,0,0,0,0,0
1978,137,34,54,-14,13,30,236,46,4,49,1,0,0,0,0,0,0,0
2005,130,70,79,-10,8,86,451,0,6,73,0,0,0,0,0,1,0,0
2016,105,24,61,-17,25,37,290,76,3,28,0,1,0,0,0,0,0,0
1969,129,41,46,-11,28,44,173,5,4,48,1,0,0,0,0,0,0,0
2004,96,60,53,-6,11,35,305,0,2,57,1,0,0,0,0,0,0,0
1982,174,94,25,-5,16,46,234,3,7,60,1,0,0,0,0,0,0,0
2010,131,83,43,-7,92,71,217,1,3,14,1,0,0,0,0,0,0,0
2011,168,94,48,-7,28,26,213,0,3,60,0,1,0,0,0,0,0,0
1995,78,31,51,-10,13,22,223,93,5,47,0,0,0,0,0,0,0,1
1991,130,51,57,-9,30,33,253,55,4,69,0,1,0,0,0,0,0,0
2002,127,56,61,-6,4,24,297,18,3,64,0,1,0,0,0,0,0,0
1984,122,95,40,-6,10,58,279,0,6,75,1,0,0,0,0,0,0,0
1975,130,73,70,-8,10,64,243,43,3,66,1,0,0,0,0,0,0,0
2004,154,70,68,-10,33,51,306,8,3,59,0,1,0,0,0,0,0,0
2009,119,53,68,-12,8,68,264,34,4,44,0,0,0,1,0,0,0,0
1987,114,85,88,-5,14,54,298,5,15,72,0,0,0,1,0,0,0,0
2010,109,84,64,-5,9,43,221,2,4,80,0,0,0,0,0,0,1,0
1993,76,56,59,-15,8,84,388,11,4,38,0,0,0,0,0,0,0,1
1979,134,80,65,-7,8,78,200,12,5,73,1,0,0,0,0,0,0,0
1999,139,28,49,-12,11,16,237,65,3,61,0,0,1,0,0,0,0,0
1995,87,33,52,-14,12,12,267,58,3,61,1,0,0,0,0,0,0,0
2000,174,45,46,-11,8,42,257,16,3,74,0,0,0,0,0,0,1,0
1982,176,26,31,-19,7,19,423,15,3,22,1,0,0,0,0,0,0,0
1987,106,52,72,-12,21,82,288,71,3,64,0,0,0,0,0,0,1,0
1984,113,93,26,-7,11,28,417,0,11,62,0,0,0,0,0,1,0,0
1994,90,82,40,-7,37,10,231,0,5,62,0,0,0,0,0,1,0,0
2013,85,53,55,-8,22,41,272,19,3,82,1,0,0,0,0,0,0,0
1995,73,34,44,-13,11,30,219,48,3,58,0,1,0,0,0,0,0,0
2018,105,66,40,-7,23,39,217,3,3,27,0,0,0,0,0,0,0,1
1982,107,66,45,-7,26,78,287,66,5,68,0,0,0,1,0,0,0,0
2001,79,64,47,-6,15,50,260,15,3,77,0,0,0,0,0,0,1,0
1998,77,42,62,-9,14,22,331,2,4,69,0,1,0,0,0,0,0,0
1983,120,80,71,-5,35,73,238,22,3,76,0,0,0,0,0,0,1,0
1986,131,88,66,-6,7,84,210,34,3,60,1,0,0,0,0,0,0,0
1995,135,37,24,-8,9,30,251,84,3,66,0,0,0,0,1,0,0,0
1985,116,28,44,-18,18,20,238,46,4,50,0,1,0,0,0,0,0,0
1988,141,98,31,-3,26,63,211,9,10,42,1,0,0,0,0,0,0,0
1999,95,91,92,-2,9,31,162,3,27,70,0,1,0,0,0,0,0,0
1998,93,74,67,-8,20,77,282,14,19,61,0,0,0,0,0,0,1,0
1985,103,91,57,-4,13,56,289,8,4,64,1,0,0,0,0,0,0,0
1973,181,39,36,-14,12,50,218,75,3,61,0,0,0,0,1,0,0,0
2013,121,66,60,-6,12,29,245,23,5,80,0,1,0,0,0,0,0,0
1973,125,60,48,-9,11,67,313,8,3,71,1,0,0,0,0,0,0,0
2006,165,56,48,-6,18,54,154,32,3,67,0,1,0,0,0,0,0,0
1969,129,54,56,-10,18,39,186,3,3,82,0,1,0,0,0,0,0,0
2012,180,42,50,-8,11,22,281,13,7,70,0,0,1,0,0,0,0,0
2014,135,72,76,-8,95,51,280,5,24,47,0,0,0,0,0,0,0,1
1977,200,42,29,-9,10,35,232,84,4,48,0,1,0,0,0,0,0,0
1980,127,79,46,-7,8,52,295,55,4,59,0,1,0,0,0,0,0,0
2010,99,19,65,-14,13,23,231,98,3,48,0,0,0,1,0,0,0,0
1976,136,83,51,-8,12,74,513,4,8,69,1,0,0,0,0,0,0,0
